giocatore,ruolo,numero,squadra,eta,presenze nazionale fino 18-19,presenze nazionale 19-20,presenze inizio club,presenze panchina club,rank presenze,convocato?,massime presenze nazionale attese,rank talento,rank talento ultimo match,rank talento inizio stagione,rank talento cambiamento da ultimo match,rank talento cambiamento da inizio stagione
riccioni,PR,1,benetton,21,0,7,,,1,Y,90,4,4,55,,51
ferrari,PR,1,benetton,25,22,7,,,2,Y,72,13,14,14,1,1
lovotti,PR,1,zebre,30,34,6,,,10,Y,43,35,35,36,,1
zani,PR,1,benetton,30,7,6,,,11,Y,16,51,52,51,1,
quaglio,PR,1,benetton,28,9,5,,,20,Y,27,46,46,45,,-1
pasquali,PR,1,benetton,25,18,3,,,28,Y,64,18,17,16,-1,-2
mancini parri,PR,1,benetton/petrarca,21,0,0,3,,38,,0,56,56,55,,-1
rimpelli,PR,1,zebre,22,0,0,2,1,45,,0,56,56,55,,-1
appiah,PR,1,benetton,25,0,0,2,,51,,0,56,56,55,,-1
traore,PR,1,benetton,25,10,0,1,2,54,,53,27,28,24,1,-3
fischetti,PR,1,zebre,21,0,0,1,,58,Y,0,56,56,55,,-1
alongi,PR,1,benetton/mogliano,19,0,0,,3,63,,0,56,56,55,,-1
buonfiglio,PR,1,zebre,24,0,0,,2,69,,0,56,56,55,,-1
zilocchi,PR,1,zebre,22,2,0,,1,73,Y,75,10,9,7,-1,-3
ceccarelli,PR,1,edinburgh,27,11,0,x,x,81,,34,42,42,39,,-3
tenga,PR,1,zebre,29,0,0,,,84,,0,56,56,55,,-1
nocera,PR,1,fiamme oro,20,0,0,2,,93,,0,56,56,55,,-1
franceschetto,PR,1,petrarca,20,0,0,1,1,102,,0,56,56,55,,-1
mariottini,PR,1,fiamme oro,20,0,0,,1,120,,0,56,56,55,,-1
michelini,PR,1,calvisano,19,0,0,,,131,y,0,56,56,55,,-1
brugnara,PR,1,calvisano,25,0,0,,,153,,0,56,56,55,,-1
di stefano,PR,1,fiamme oro,30,0,0,,,154,,0,56,56,55,,-1
bigi,HK,2,zebre,28,19,5,,,18,Y,37,39,41,41,2,2
fabiani,HK,2,zebre,29,7,3,,,30,Y,13,53,53,51,,-2
manfredi,HK,2,zebre,22,0,0,3,,39,,0,56,56,55,,-1
baravalle*,HK,2,benetton,28,0,0,2,1,49,,0,56,56,55,,-1
makelara,HK,2,benetton,23,0,0,1,2,53,,0,56,56,55,,-1
ceciliani,HK,2,zebre,22,0,0,,3,65,,0,56,56,55,,-1
borean,HK,1,benetton/petrarca,22,0,0,,1,71,,0,56,56,55,,-1
gega,HK,2,benetton,29,15,0,,,83,,18,49,49,47,,-2
ghiraldini,HK,2,-,34,104,0,x,x,87,Y,107,3,3,3,,
luus,HK,2,valorugby,23,0,0,2,,97,,0,56,56,55,,-1
rollero,HK,2,lyons piacenza,22,0,0,1,,112,,0,56,56,55,,-1
ferraro,HK,2,mogliano,23,0,0,1,,114,,0,56,56,55,,-1
taddia,HK,2,fiamme oro,20,0,0,,1,123,,0,56,56,55,,-1
marinello,HK,2,petrarca,19,0,0,,,129,,0,56,56,55,,-1
bonanni,HK,2,mogliano,20,0,0,,,134,,0,56,56,55,,-1
luccardi,HK,2,calvisano,21,0,0,,,144,,0,56,56,55,,-1
nicotera,HK,2,rovigo,23,0,0,,,151,,0,56,56,55,,-1
ruzza,SR,4,benetton,25,12,6,,,6,Y,61,20,20,23,,3
budd,SR,4,benetton,33,20,6,,,13,Y,29,45,45,44,,-1
zanni,SR,4,benetton,35,111,6,,,14,Y,120,2,2,2,,
sisi,SR,4,zebre,26,5,4,,,24,Y,42,36,36,34,,-2
cannone n.,SR,4,benetton/petrarca,21,0,0,2,1,44,,0,56,56,55,,-1
biagi,SR,4,zebre,34,23,0,1,2,55,,26,47,46,43,-1,-4
fuser,SR,4,benetton,28,33,0,1,1,57,,46,33,33,30,,-3
ortis,SR,4,zebre,22,0,0,,1,72,,0,56,56,55,,-1
masselli,SR,4,zebre,22,0,0,,,76,,0,56,56,55,,-1
krumov,SR,4,zebre,23,0,0,,,77,,0,56,56,55,,-1
canali,SR,4,rovigo,21,0,0,1,,106,,0,56,56,55,,-1
stoian,SR,4,fiamme oro,19,0,0,,2,117,,0,56,56,55,,-1
favretto,SR,4,mogliano,17,0,0,,1,118,yy,0,56,56,55,,-1
butturini,SR,4,petrarca,20,0,0,,1,119,,0,56,56,55,,-1
parolo,SR,4,rovigo,20,0,0,,1,121,,0,56,56,55,,-1
negri,F8,6,benetton,25,16,6,,,5,Y,65,16,17,18,1,2
