squadra,indirizzo,X,Y
verona,"Via S. Marco, 114, 37138 Verona VR, Italy",45.440371,10.9527257
cus genova,"Viale Francesco Gambaro, 66, 16146 Genova GE, Italy",44.4014391,8.969479
accademia,"Via Padre M. Cappellazzi, 5, 25010 Remedello di Sopra BS, Italy",45.2797457,10.3686496
pro recco,"Via dei Fieschi, 16036 Recco GE, Italy",44.3650197,9.1413523
valsugana,"Via Querini, 7D, 35135 Padova PD, Italy",45.4524602,11.8696959
cus torino,"Str. del Barocchio, 10095 Grugliasco TO, Italy",45.0481507,7.6110297
centurioni,"Via Brescia, 41, 25065 Lumezzane BS, Italy",45.651617,10.2316778
noceto,"Via Gandiolo, 2, 43015 Noceto PR, Italy",44.8072098,10.1849561
parabiago,"Via Carso, 20015 Parabiago MI, Italy",45.5487407,8.9356543
asr milano,"Via Circonvallazione Idroscalo, 51, 20090 Segrate MI, Italy",45.4660709,9.2839706
alghero,"Via degli Amici del Rugby, 07041 Alghero SS, Italy",40.5660354,8.2869005
petrarca cadetta,"Via Guido Gozzano, 64, 35125 Padova PD, Italy",45.3725583,11.8634188
valpolicella,"Via Tofane, 1, 37029 San Pietro In Cariano VR, Italy",45.5223077,10.8774667
casale,"Via Vicinale Rivalta, 233, 31032 Casale Sul Sile TV, Italy",45.6075079,12.3308122
tarvisium,"Viale Olimpia, 4, 31100 Treviso TV, Italy",45.6819149,12.2122173
udine,"Via del Maglio, 8, 33100 Udine UD, Italy",46.0835889,13.2380712
prato sesto,"Via della Quercia, 50019 Sesto Fiorentino FI, Italy",43.8440954,11.1880839
l'aquila,"Viale Croce Rossa, 67100 L'Aquila AQ, Italy",42.3566974,13.4017456
settimo,"Via Cascina Nuova, 39, 10036 Settimo Torinese TO, Italy",45.3139342,8.123287
cus perugia,"Str. Tuderte, 10, 06126 Perugia PG, Italy",43.0932881,12.3962672
medicei cadetta,"Viale Pasquale Paoli, 23, 50137 Firenze FI, Italy",43.7785052,11.2802845
vicenza,"Strada Sant'Antonino, 131, 36100 Vicenza VI, Italy",45.5544384,11.4937106
afragola,"Via del Molise, 23, 80021 Afragola NA, Italy",40.8750871,14.1697887
biella,"Via Salvo D'Acquisto, 13900 Biella BI, Italy",45.5527079,8.0431331
romagna,"Via Montefiore, 915, 47521 Cesena FC, Italy",44.1495396,12.2602922
pesaro,"Via Feliciano Scarpellini, 22, 61122 Pesaro PU, Italy",43.8933244,12.9169158
paese,"Via degli Impianti Sportivi, 1, 31038 Paese TV, Italy",45.6784407,12.1572651
badia,"Via Martiri Villamarzana, 45021 Badia Polesine RO, Italy",45.0841476,11.4920056
capitolina,"Via Flaminia, 867, 00191 Roma RM, Italy",41.9530396,12.4815413
catania,"Via Fontanarossa, 95110 Catania CT, Italy",37.4752644,15.0638988
