squadra,indirizzo,X,Y
junior,"Via Cefalonia, 49, 25124 Brescia BS, Italy",45.5261884,10.211271
rovato,"Via Primo Maggio, 4, 25038 Rovato BS, Italy",45.5745345,10.0030571
monferrato,"Via Francesco Cirio, 27, 14100 Asti AT, Italy",44.88868,8.2150946
piacenza,"Viale dell'Agricoltura, 61, 29122 Piacenza PC, Italy",45.0380617,9.6829437
bergamo,"Via Pizzo della Presolana, 24125 Bergamo BG, Italy",45.6975851,9.6959797
capoterra,"09012 Capoterra, Province of Cagliari, Italy",39.1780325,8.9776637
varese,"Via Salvore, 9, 21100 Varese VA, Italy",45.8142511,8.8371411
lecco,"Piazza Manzoni, 23, 23900 Lecco LC, Italy",45.8514187,9.3898563
sondrio,"Piazzale Fojanini, 23100 Sondrio SO, Italy",46.1660034,9.8478514
union,"Via Carlo Valvassori Peroni, 48, 20133 Milano MI, Italy",45.4760004,9.2344857
benevento,"82100 Benevento, Province of Benevento, Italy",41.1229605,14.7726897
cus MI,"Via Carlo Pascal, 6, 20133 Milano MI, Italy",45.4784741,9.2328799
florentia,"Via di S. Bartolo a Cintoia, 19/a, 50142 Firenze FI, Italy",43.7734882,11.1937179
civitavecchia,"Via del Casaletto Rosso, snc, 00053 Civitavecchia RM, Italy",42.0773965,11.8146242
primavera,"Viale di Tor di Quinto, 57b, 00191 Roma RM, Italy",41.9412625,12.4816736
livorno,"Via dei Pensieri, 51, 57128 Livorno LI, Italy",43.5479428,10.3082483
rugby PA,"Via Lago Verde, 1, 43124 Parma PR, Italy",44.8022913,10.2926533
modena,"Str. Collegarola, 80, 41126 Modena MO, Italy",44.6131443,10.9432092
jesi,"Via Mazzangrugno, 60035 Jesi AN, Italy",43.515352,13.2691076
siena,"Via Luciano Banchi, 5, 53100 Siena SI, Italy",43.3371724,11.2969018
amatori PA,"Via S. Leonardo, 110/A, 43122 Parma PR, Italy",44.8259334,10.33225
rieti,"Viale Alberto Fassini, 5, 02100 Rieti RI, Italy",42.4099164,12.8483993
castellana,"Via Malvolta, 57, 31033 Castelfranco Veneto TV, Italy",45.663585,11.9454479
valsugana II,"Via Querini, 7D, 35135 Padova PD, Italy",45.4524602,11.8718846
franciacorta,"Via Giulio Bevilacqua, 16, 25064 Piazza BS, Italy",45.5872422,10.1603642
bologna 1928,"Via Luigi Valeriani 21/A, 40134 Bologna BO, Italy",44.4977289,11.2634305
villorba,"Via G. Marconi, 12, 31020 Lancenigo TV, Italy",45.7258412,12.2449864
mirano,"Via G. Matteotti, 51, 30035 Mirano VE, Italy",45.4948763,12.0911461
rubano,"Via Borromeo, 35, 35030 Sarmeola PD, Italy",45.4288163,11.8065711
mogliano II,"Via Clemente Colelli 2, 31021 Mogliano Veneto TV, Italy",45.5535997,12.2418299
cus PD,"Via Jacopo Corrado, 4, 35128 Padova PD, Italy",45.3988322,11.8747005
cus FE,"via, Via Gramicia, 41, 44123 Ferrara FE, Italy",44.8533308,11.6293983
viadana II,"Via Learco Guerra, 12, 46019 Viadana MN, Italy",44.9309442,10.5157498
ivrea,"q.re San Giovanni d'Ivrea, Viale Biella, 10015 Ivrea TO, Italy",45.4634363,7.9083441
verona II,"Via della Diga, 6, 37124 Verona VR, Italy",45.4527563,10.922262
imola,"Via Papa Onorio II', 34, 40026 Imola BO, Italy",44.3504839,11.6950968
v.pamhpili,"Viale Arturo Martini, 00148 Roma RM",41.849281,12.4129218
ragusa,"Via Forlanini, 97100 Ragusa RG, Italy",36.9223875,14.7124006
paganica,"Via Onna, 67100 Nucleo Industriale di Bazzano AQ, Italy",42.3500901,13.4711544
capitolina II,"Via Flaminia, 867, 00191 Roma RM, Italy",41.9530396,12.4815413
cus CA,"Viale Andrea Doria, 6, 95125 Catania CT, Italy",37.5267787,15.0686002
frascati,"Via Santa Croce, 00044 Frascati RM, Italy",41.822655, 12.684463
olimpic,"Via di Tor Pagnotta, 351, 00143 Roma RM, Italy",41.8056309,12.5139789
partenope,"Viale della Liberazione, 80125 Napoli NA, Italy",40.845326,14.1239202
usr,"Via dell'Acqua Marcia, 51, 00158 Roma RM, Italy",41.9203821,12.5570484
avezzano,"Via dei Gladioli, 1, 67051 Avezzano AQ, Italy",42.0438056,13.4394279
messina,"Via Antonio Catalano, 1, 98122 Messina ME, Italy",38.2307633,15.5363368
lions,"57124 Livorno, Province of Livorno, Italy",43.5336197,10.3413102
